Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
Ed Sheeran - Thinking Out Loud (Official Music Video),lp-EO5I60KA,Ed Sheeran,2019-10-16T16:47:40Z,3772049378,15190707,0,375821
Katy Perry - Dark Horse ft. Juicy J,0KSOMA3QBU0,KatyPerryVEVO,2021-04-05T09:25:11Z,3730194156,17658273,0,809284
"mehro - ""K3TAMINE"" (Official Video)",R-kp016_ig8,mehro,2024-05-09T17:32:13Z,578916,22270,0,1067
Madison Beer - Make You Mine (Official Music Video),XFR7v5ix5hU,MadisonBeerMusicVEVO,2024-04-25T17:08:44Z,20823244,720176,0,15184
Ed Sheeran - Perfect (Official Music Video),2Vv-BfVoq4g,Ed Sheeran,2019-10-16T16:47:43Z,3741581498,21318386,0,532060
"Kris James - Forever, Forever",A1nxhRNADhI,KrisJamesVEVO,2024-05-10T17:36:53Z,191289,259,0,8
Passenger | Let Her Go (Official Video),RBumgq5yVrA,Passenger,2021-08-09T12:50:12Z,3666184674,16862860,0,491785
"Jason Derulo, Michael Bublé, Maria Becerra - SPICY MARGARITA (Official Lyric Video)",mQgiQqQQ604,Maria Becerra,2024-05-04T17:05:17Z,1145069,39907,0,1782
Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),aJOTlE1K90k,Maroon5VEVO,2021-04-05T09:25:12Z,3614925007,21699961,0,665579
SKYMACHINE - Caller Collect (L'ange Sans Ses Ailes),ONDGDcxvyC8,Skymachine,2024-05-15T17:37:14Z,6766,44,0,11
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],3AtDnEC4zak,Charlie Puth,2021-04-05T09:25:13Z,3171299435,14613069,0,410972
Adele - Hello (Official Music Video),YQHsXMglC9A,AdeleVEVO,2021-08-24T06:37:52Z,3141320281,18805853,0,949506
Ryan Alexander - You Got A Man? (Lyric Video),F6z7598c8so,Ryan Alexander,2024-05-25T19:10:23Z,1142,7,0,2
The Chainsmokers - Closer (Lyric) ft. Halsey,PT2_F-1esPk,ChainsmokersVEVO,2024-04-18T17:16:17Z,3060668052,14050898,0,395749
Christina Perri - A Thousand Years [Official Music Video],rtOvBOTyX00,Christina Perri,2020-03-21T19:41:51Z,2444197027,15127049,0,512938
Kelsie Kimberlin  - Parking Lot (Official video),BvuVnUWacBI,Kelsie Kimberlin,2024-04-30T17:33:22Z,819356,56337,0,20
John Legend - All of Me (Official Video),450p7goxZqg,johnlegendVEVO,2021-08-24T06:37:53Z,2375639922,13137330,0,255113
Ellie Goulding - Love Me Like You Do (Official Video),AJtDXIazrMo,EllieGouldingVEVO,2024-03-14T20:01:25Z,2334283812,13034807,0,300890
Lerocque: Griefcase (Official Music Video),wT36Seca-LI,Lerocque,2024-05-02T17:13:34Z,50363,1792,0,5
Justin Bieber - What Do You Mean? (Lyric Video),NywWB67Z7zQ,JustinBieberVEVO,2021-04-05T09:25:14Z,227795436,1795902,0,89378
Adele - Someone Like You (Official Music Video),hLQl3WQQoQ0,AdeleVEVO,2021-07-01T09:24:33Z,2190935755,10635688,0,365546
Justin Bieber - Love Yourself (PURPOSE : The Movement),oyEuk8j8imI,JustinBieberVEVO,2021-04-05T09:25:15Z,1737755630,8361365,0,257009
Luci - Drugs (Ophelia Records) [OFFICIAL MUSIC VIDEO],6Z4yfPzKssA,Luci,2024-05-08T17:09:34Z,35770,715,0,50
James Arthur - Say You Won't Let Go,0yW7w8F2TVA,JamesAVEVO,2021-04-05T09:25:15Z,1674365447,9039341,0,183709
Sam Smith - I'm Not The Only One (Official Music Video),nCkpzqqog4k,SamSmithVEVO,2022-11-22T18:51:45Z,1660555760,6782339,0,143935
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",bo_efYhYU2A,LadyGagaVEVO,2019-10-16T16:47:45Z,1633657513,8211334,0,202215
Lukas Graham - 7 Years [Official Music Video],LHCob76kigA,Lukas Graham,2021-09-07T10:53:04Z,1528933002,10878308,0,354225
Sam Smith - Too Good At Goodbyes,J_ub7Etch2U,SamSmithVEVO,2021-08-24T06:37:54Z,1476431928,7177676,0,137898
Sophie Powers - Woah!! (feat. kets4eki) [Official Music Video],1lLAe0olbvQ,Sophie Powers,2024-05-14T17:28:51Z,72122,1606,0,175
Bruno Mars - When I Was Your Man (Official Music Video),ekzHIouo8Q4,Bruno Mars,2020-03-21T19:41:53Z,1397419335,7516555,0,202435
Ed Sheeran - Photograph (Official Music Video),nSDgHBxUbVQ,Ed Sheeran,2020-03-21T19:41:52Z,1381183028,7153322,0,176585
Mia Baron - Together Again (Lyric Video),WMoWlGcGpLQ,Mia Baron,2024-05-16T17:35:27Z,28061,73,0,7
Harry Styles - Sign of the Times (Official Video),qN4ooNx77u0,HarryStylesVEVO,2021-04-05T09:25:17Z,1237321068,8762799,0,273622
Sam Smith - Stay With Me (Official Music Video),pB-5XG-DbAA,SamSmithVEVO,2020-03-21T19:41:51Z,1204960906,5598447,0,130267
Ava Max - My Oh My (Official Video),8ocWUGARCB0,Ava Max,2024-05-26T18:42:37Z,6218894,143078,0,8460
Rihanna - Stay ft. Mikky Ekko,JF8BRvqGCNs,RihannaVEVO,2020-03-21T19:41:52Z,1136474076,5026522,0,171549
"Calum Scott, Leona Lewis - You Are The Reason (Duet Version)",ByfFurjQDb0,CalumScottVEVO,2022-11-24T18:43:57Z,610564732,3210865,0,53220
Train - Long Yellow Dress (Lyric Video),er4bNZndM7k,Train,2024-05-20T17:35:10Z,82957,1282,0,77
Maroon 5 - Memories (Official Video),SlPhMPnQ58k,Maroon5VEVO,2019-10-17T14:34:34Z,1024668353,9545317,0,272996
Nelly Furtado - Say It Right (Official Music Video),6JnGBs88sL0,NellyFurtadoVEVO,2021-04-05T09:25:18Z,1004593394,4898678,0,133865
Fedd The God - 100 ft. Latia [Official Music Video],o8xROxYEI7o,Fedd the God,2024-04-30T17:33:23Z,253944,258,0,38
Lorde - Royals (US Version),nlcIKh6sBtc,LordeVEVO,2021-04-05T09:25:16Z,952727682,4757570,0,224397
Billie Eilish - when the party's over (Official Music Video),pbMwTqkKSps,BillieEilishVEVO,2021-04-05T09:25:17Z,929718394,13762823,0,407614
