Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
Ed Sheeran - Thinking Out Loud (Official Music Video),lp-EO5I60KA,Ed Sheeran,2019-07-12T06:15:55Z,3772049378,15190712,0,375821
Christina Perri - A Thousand Years [Official Music Video],rtOvBOTyX00,Christina Perri,2020-11-20T10:07:10Z,2444199500,15127058,0,512938
Ed Sheeran - Perfect (Official Music Video),2Vv-BfVoq4g,Ed Sheeran,2017-11-09T18:54:48Z,3741585282,21318399,0,532061
John Legend - All of Me (Official Video),450p7goxZqg,johnlegendVEVO,2020-08-26T05:29:17Z,2375639922,13137332,0,255113
Madison Beer - Make You Mine (Official Music Video),XFR7v5ix5hU,MadisonBeerMusicVEVO,2024-04-25T16:48:23Z,20825131,720190,0,15184
Rihanna - Diamonds,lWA2pjMjpBs,RihannaVEVO,2022-07-04T17:24:23Z,2331383381,11497202,0,420641
Bruno Mars - Just The Way You Are (Official Music Video),LjhCEhWiKXk,Bruno Mars,2020-11-20T10:07:10Z,1952194688,8410044,0,249468
LONELY SPRING X DAMONA - Secondhand Heart (Official Video),60SiyObYK9Y,LONELYSPRINGmusic,2024-05-01T16:54:21Z,38589,284,0,18
James Arthur - Say You Won't Let Go,0yW7w8F2TVA,JamesAVEVO,2017-07-04T09:26:03Z,1674366648,9039347,0,183709
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",bo_efYhYU2A,LadyGagaVEVO,2022-02-18T12:35:53Z,1633658713,8211337,0,202217
Jae Stephens - WET (Lyric Video),wozf-OW4bto,jae stephens,2024-05-25T18:52:24Z,25411,117,0,10
Beyoncé - Halo,bnVUHWCynig,BeyoncéVEVO,2020-08-26T05:29:18Z,1545536400,7614396,0,219177
Rihanna - Stay ft. Mikky Ekko,JF8BRvqGCNs,RihannaVEVO,2020-11-20T10:07:12Z,1136474290,5026524,0,171549
The Bossline - I Like It (Genial Mix),PbnOgawIMMQ,Capitalism Music,2024-05-16T17:13:39Z,11879,34,0,2
"Calum Scott, Leona Lewis - You Are The Reason (Duet Version)",ByfFurjQDb0,CalumScottVEVO,2023-09-07T20:01:38Z,610565422,3210869,0,53220
Meghan Trainor - Like I'm Gonna Lose You (Official Video) ft. John Legend,2-MBfn8XjIU,MeghanTrainorVEVO,2020-02-06T14:02:32Z,848966854,4519046,0,86788
Diplo & Riva Starr - Heaven or Not (feat. Kareen Lomax) [Official Visualizer],alZdgHHNgDE,Diplo,2024-04-30T17:15:32Z,402848,3820,0,139
Whitney Houston - I Have Nothing (Official HD Video),FxYw0XPEoKE,whitneyhoustonVEVO,2022-06-14T19:46:26Z,837586766,3956192,0,113388
Jason Mraz - I'm Yours (Official Video) [4K Remaster],EkHTsc9PU2A,Jason Mraz,2019-07-12T06:15:57Z,798928256,4492678,0,133304
Capital Boy - Another Universe (GOL'D Remix),9gsHR2NsUCM,Capitalism Music,2024-05-16T17:13:40Z,11556,22,0,2
Charlie Puth - One Call Away [Official Video],BxuY9FET9Y4,Charlie Puth,2020-09-11T07:23:22Z,835453743,5170067,0,147341
One Direction - Night Changes,syFZfO_wfMQ,OneDirectionVEVO,2020-09-11T07:23:24Z,802660225,7828254,0,271056
Connect-R ❌ Raluka - That Thing | Official Video,xOBH8vK51Po,Connect-R,2024-05-17T17:34:03Z,55169,1816,0,76
Alicia Keys - No One (Official Music Video),rywUS-ohqeE,aliciakeysVEVO,2020-09-03T06:18:55Z,789336231,3537107,0,81395
The Weeknd - Earned It (Fifty Shades Of Grey),waU75jdUnYw,TheWeekndVEVO,2021-02-08T06:50:55Z,774487408,6494989,0,98237
Maroon 5 - She Will Be Loved (Official Music Video),nIjVuRTm-dc,Maroon5VEVO,2020-09-11T07:23:23Z,770325783,2731412,0,69888
Jessie J - Flashlight (from Pitch Perfect 2) (Official Video),DzwkcbTQ7ZE,JessieJVEVO,2020-11-20T10:07:13Z,765532524,4775406,0,107347
Katy Perry - Unconditionally (Official),XjwZAa2EjKA,KatyPerryVEVO,2020-11-20T10:07:14Z,703760936,3635896,0,110447
Brett Young - In Case You Didn't Know (Official Music Video),7qaHdHpSjX8,BrettYoungVEVO,2023-01-28T21:11:54Z,692498947,3295772,0,58586
"Lauren Hulbert ""HONEYDEW"" (Official Music Video)",fhwiVjwZMkw,Lauren Hulbert,2024-05-14T17:03:53Z,6858,26,0,4
Aerosmith - Crazy (Official Music Video),NMNgbISmF4I,AerosmithVEVO,2021-11-18T06:42:00Z,672955342,2152155,0,43941
Lady Antebellum - Need You Now,eM213aMKTHg,LadyAVEVO,2023-07-27T19:26:58Z,623738010,3259383,0,80209
Capital Boy - Always (No Hopes Remix),__xqPFYxaGw,Capitalism Music,2024-05-16T17:13:41Z,12633,36,0,2
One Direction - You & I,_kqQDCxRCzM,OneDirectionVEVO,2020-11-20T10:07:14Z,607306324,6045973,0,313807
Richard Marx - Right Here Waiting (Official Music Video),S_E2EHVxNAE,RichardMarxVEVO,2020-08-26T05:29:20Z,557256396,3219157,0,84987
Dayna Madison - Medicine,CFqublkytfc,DaynaMadisonVEVO,2024-05-15T12:41:21Z,58035,526,0,28
Lady Gaga - Always Remember Us This Way (from A Star Is Born) (Official Music Video),5vheNbQlsyU,LadyGagaVEVO,2023-07-27T19:27:00Z,542781305,2972863,0,57068
Enrique Iglesias - Hero,koJlIGDImiU,EnriqueIglesiasVEVO,2020-11-20T10:07:15Z,533607706,2209175,0,94700
Charly Bliss - Nineteen,o01RqjMBS7I,CharlyBlissVEVO,2024-05-04T16:51:00Z,92249,1007,0,140
I'll Never Love Again (from A Star Is Born) (Official Music Video),52nfjRzIaj8,LadyGagaVEVO,2023-08-03T19:03:31Z,519839638,2902948,0,80984
Berlin - Take My Breath Away (Official Video - Top Gun),Bx51eegLTY8,BerlinVEVO,2020-11-20T10:07:17Z,420721795,2600065,0,53911
Kaustubh Patil - Loving Me,-JLMDOtUI_c,Kaustubh Patil,2024-05-01T16:54:23Z,107753,338,0,72
Savage Garden - Truly Madly Deeply,WQnAxOQxQIU,SavageGardenVEVO,2021-05-24T08:48:18Z,481373226,2217198,0,63292
Sean Paul - I'm Still In Love With You (Official Video),AQ4TW5Z8eu0,Atlantic Records,2023-03-16T19:36:13Z,475045286,2881741,0,37214
Selin - HUMAN (Official Music Video),KFBxOCvU5es,SELIN,2024-05-10T17:28:13Z,1314855,8451,0,214
Roxette - Listen To Your Heart (Official Music Video),yCC_b5WHLX0,Roxette,2021-05-24T08:48:18Z,439759891,1881872,0,64751
"Jordin Sparks, Chris Brown - No Air (Official Video) ft. Chris Brown",WBKnpyoFEBo,JordinSparksVEVO,2023-08-10T18:15:10Z,429289809,2039845,0,68181
"Jason Derulo, Michael Bublé, Maria Becerra - SPICY MARGARITA (Official Lyric Video)",mQgiQqQQ604,Maria Becerra,2024-05-04T16:51:01Z,1145259,39908,0,1782
"Glitter Dream, Alex Parker, Ciresan - Undress Your Soul (feat. SBSTN) (Visualizer)",4RfUSuX2Lnk,Alex Parker,2024-05-23T12:17:08Z,79964,156,0,3
"Bill Medley, Jennifer Warnes - (I've Had) The Time Of My Life (Official HD Video)",4BQLE_RrTSU,BillMJennWVEVO,2024-05-13T17:01:19Z,39419145,436664,0,7369
Bryan Adams - Heaven,s6TtwR2Dbjg,BryanAdamsVEVO,2021-11-18T06:42:02Z,414447435,2448491,0,57466
Elvis Presley - Can't Help Falling In Love (Official Audio),vGJTaP6anOU,ElvisPresleyVEVO,2021-05-24T08:48:20Z,412039266,3836136,0,129364
Taylor Swift - Everything Has Changed ft. Ed Sheeran,w1oM3kQpXRo,TaylorSwiftVEVO,2020-11-20T10:07:15Z,409941208,3265708,0,156543
Milli Smoke - til the end (Official Audio + Lyrics),ZJPNjVTI90M,Milli Smoke,2024-05-15T17:14:01Z,3710,18,0,2
One Direction - Little Things,xGPeNN9S0Fg,OneDirectionVEVO,2020-02-06T14:02:33Z,402669842,3327551,0,333957
Zara Larsson - Uncover,U-PXEe-qeK4,ZaraLarssonMusicVEVO,2019-07-12T06:16:06Z,393500903,4327910,0,89869
Faouzia - What A Woman,iQWWwTJFOIs,Faouzia,2024-05-04T16:51:02Z,622107,13819,0,688
Bon Jovi - Bed Of Roses (Official Music Video),NvR60Wg9R7Q,BonJoviVEVO,2021-11-18T06:42:02Z,364568679,1312258,0,45689
Backstreet Boys - Shape Of My Heart (Official HD Video),OT5msu-dap8,BackstreetBoysVEVO,2023-08-03T19:03:34Z,358607072,1102614,0,46601
Foreigner - I Want To Know What Love Is (Official Music Video),r3Pr1_v7hsw,RHINO,2022-06-30T18:09:33Z,355119369,2113640,0,43358
Love On The Brain,QMP-o8WXSPM,Rihanna - Topic,2020-12-02T09:22:40Z,265901513,2007523,0,4067
Labrinth - Beneath Your Beautiful (Official Video) ft. Emeli Sandé,bqIxCtEveG8,LabrinthVEVO,2019-07-12T06:16:16Z,351287554,1635676,0,45156
Sophie Powers - Woah!! (feat. kets4eki) [Official Music Video],1lLAe0olbvQ,Sophie Powers,2024-05-14T17:03:52Z,72122,1606,0,175
Air Supply - Making Love Out Of Nothing At All,ogoIxkPjRts,AirSupplyVEVO,2021-11-30T23:42:19Z,348033115,1948868,0,44311
Stephen Sanchez - Until I Found You (Official Video),GxldQ9eX2wo,StephenSanchezVEVO,2023-06-01T18:40:52Z,336663327,4026556,0,52557
Phil Makes - Bet on a Blue Sky,acl5Z_ivl9A,Phil Makes,2024-05-08T16:47:20Z,38930,56,0,4
Shania Twain - From This Moment On,a-Lp2uC_1lg,ShaniaTwainVEVO,2021-05-24T08:48:20Z,329600106,1336437,0,46800
Lukas Graham - Love Someone [Official Music Video],dN44xpHjNxE,Lukas Graham,2021-05-24T08:48:20Z,324085774,1888473,0,26317
Luci - Drugs (Ophelia Records) [OFFICIAL MUSIC VIDEO],6Z4yfPzKssA,Luci,2024-05-08T16:47:21Z,35777,715,0,50
Ed Sheeran - Lego House [Official Music Video],c4BLVznuWnU,Ed Sheeran,2020-02-06T14:02:34Z,321275914,1850526,0,193413
Justin Bieber - Never Let You Go,3ExWsVFJlFo,JustinBieberVEVO,2020-06-11T09:06:26Z,317055023,1538206,0,149754
Lu' - Over (Official Video),PdgAcGmXBOY,Lu’,2024-05-08T16:47:23Z,99720,639,0,13
Mary J. Blige - Be Without You (Official Music Video),8XNaPX6MKlU,MaryJBligeVEVO,2021-08-24T09:13:04Z,308071404,1645494,0,35244
"ZAYN, Zhavia Ward - A Whole New World (End Title) (From ""Aladdin""/Official Video)",rg_zwK_sSEY,DisneyMusicVEVO,2023-09-13T21:28:12Z,304121190,4172960,0,145065
"Kris James - Forever, Forever",A1nxhRNADhI,KrisJamesVEVO,2024-05-10T17:28:14Z,191312,259,0,8
*NSYNC - This I Promise You (Official Video),6thmPrTxBtI,NSYNCVEVO,2021-05-24T08:48:22Z,302756170,1022949,0,48692
The Pussycat Dolls - Stickwitu (Official Music Video) ft. Avant,K1uNjmxJQUo,ThePussycatDollsVEVO,2021-05-24T08:48:21Z,302114790,1302325,0,31440
Lorin - Free Fall feat. Losertown (Acoustic Version) Exclusive Performance,PCgis1RVEmo,Lorin,2024-05-10T17:28:16Z,7784,146,0,10
Taylor Swift - Lover (Official Music Video),-BjZmE2gtdo,TaylorSwiftVEVO,2023-06-22T19:01:16Z,293358628,3729976,0,104180
Shane Filan - Beautiful In White (Official Video),06-XXOTP3Gc,ShaneFilanVEVO,2024-05-13T17:01:21Z,194248130,1011139,0,30519
JayO - Reset with Crayon & Bella Shmurda,kZYOBg9aMO0,JayO Again,2024-05-10T17:28:17Z,189905,1481,0,47
"Dan + Shay, Justin Bieber - 10,000 Hours (Official Music Video)",Y2E71oe0aSM,Dan And Shay,2021-05-24T08:48:21Z,289801989,3254101,0,72473
Julia Michaels - Issues,9Ke4480MicU,JuliaMichaelsVEVO,2021-05-24T08:48:21Z,269862342,2426681,0,42091
"""More Deeply (In Love With You)"" by Boy Meets Girl",UDNzrjXLuwg,Boy Meets Girl,2024-05-18T17:25:55Z,63116,525,0,55
Ed Sheeran - South of the Border (feat. Camila Cabello & Cardi B) [Official Music Video],UPOT2tgY9QQ,Ed Sheeran,2021-11-18T06:42:02Z,257676829,2311340,0,52635
Michael Bolton - Said I Loved You...But I Lied,bv5vMJKBAbo,MichaelBoltonVEVO,2021-12-07T21:48:49Z,257100799,1031808,0,44760
Walt Disco - Come Undone,FUDuV0n_QOE,WaltDiscoVEVO,2024-05-18T17:25:56Z,26852,352,0,83
Robbie Williams - Angels,luwAMFcc2f8,robbiewilliamsvevo,2022-06-28T18:13:14Z,254299870,1213094,0,28271
Ruth B. - Dandelions (Official Lyric Video),y7tHZ3WeJAw,RuthBVEVO,2024-05-07T17:03:20Z,18483877,395440,0,5711
