Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
Ed Sheeran - Thinking Out Loud (Official Music Video),lp-EO5I60KA,Ed Sheeran,2019-09-12T06:57:56Z,3772051176,15190712,0,375821
Passenger | Let Her Go (Official Video),RBumgq5yVrA,Passenger,2019-09-12T06:57:57Z,3666187526,16862875,0,491786
Fedd The God - 100 ft. Latia [Official Music Video],o8xROxYEI7o,Fedd the God,2024-05-02T17:03:37Z,254006,258,0,38
Madison Beer - Make You Mine (Official Music Video),XFR7v5ix5hU,MadisonBeerMusicVEVO,2024-04-25T16:57:58Z,20825133,720196,0,15184
Ed Sheeran - Perfect (Official Music Video),2Vv-BfVoq4g,Ed Sheeran,2019-09-12T06:58:00Z,3741585282,21318401,0,532061
Charly Bliss - Nineteen,o01RqjMBS7I,CharlyBlissVEVO,2024-05-05T17:00:33Z,92254,1007,0,140
Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),aJOTlE1K90k,Maroon5VEVO,2019-09-12T06:57:58Z,3614927841,21699969,0,665579
Christina Perri - A Thousand Years [Official Music Video],rtOvBOTyX00,Christina Perri,2019-09-12T06:58:02Z,2444199500,15127060,0,512938
"Kris James - Forever, Forever",A1nxhRNADhI,KrisJamesVEVO,2024-05-10T17:36:20Z,191338,259,0,8
John Legend - All of Me (Official Video),450p7goxZqg,johnlegendVEVO,2020-11-25T19:48:42Z,2375641507,13137332,0,255114
"Jason Derulo, Michael Bublé, Maria Becerra - SPICY MARGARITA (Official Lyric Video)",mQgiQqQQ604,Maria Becerra,2024-05-04T16:57:40Z,1145259,39909,0,1782
Bruno Mars - Just The Way You Are (Official Music Video),LjhCEhWiKXk,Bruno Mars,2019-09-12T06:58:02Z,1952195433,8410046,0,249468
Justin Bieber - Love Yourself (PURPOSE : The Movement),oyEuk8j8imI,JustinBieberVEVO,2019-09-12T06:58:00Z,1737756585,8361368,0,257009
"Shawn Mendes, Camila Cabello - Señorita",Pkh8UtuejGw,ShawnMendesVEVO,2020-11-25T19:48:51Z,1698193488,20804259,0,646468
"mehro - ""K3TAMINE"" (Official Video)",R-kp016_ig8,mehro,2024-05-09T17:31:35Z,578937,22270,0,1067
James Arthur - Say You Won't Let Go,0yW7w8F2TVA,JamesAVEVO,2019-09-12T06:58:05Z,1674367880,9039348,0,183710
Sam Smith - I'm Not The Only One (Official Music Video),nCkpzqqog4k,SamSmithVEVO,2022-11-07T19:10:17Z,1660556362,6782342,0,143935
Mia Baron - Together Again (Lyric Video),WMoWlGcGpLQ,Mia Baron,2024-05-16T17:17:34Z,28069,73,0,7
Bruno Mars - When I Was Your Man (Official Music Video),ekzHIouo8Q4,Bruno Mars,2019-09-12T06:58:11Z,1397420570,7516561,0,202435
Sam Smith - Too Good At Goodbyes,J_ub7Etch2U,SamSmithVEVO,2019-09-12T06:58:05Z,1476432656,7177682,0,137898
Ava Max - My Oh My (Official Video),8ocWUGARCB0,Ava Max,2024-05-26T18:21:42Z,6219430,143081,0,8460
Ed Sheeran - Photograph (Official Music Video),nSDgHBxUbVQ,Ed Sheeran,2019-09-12T06:58:09Z,1381183519,7153325,0,176585
Sam Smith - Stay With Me (Official Music Video),pB-5XG-DbAA,SamSmithVEVO,2019-09-12T06:58:06Z,1204961382,5598448,0,130267
Sadie Jean - You Don't (Official Lyric Video),D_758FQL6Z0,Sadie Jean,2024-05-24T17:02:03Z,101204,614,0,59
Ariana Grande - no tears left to cry (Official Video),ffxKSjUwKdU,ArianaGrandeVevo,2020-05-09T19:21:01Z,1198017424,8578361,0,441533
