Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
Ed Sheeran - Shape of You (Official Music Video),JGwWNGJdvx8,Ed Sheeran,2019-01-17T22:25:19Z,6266603234,33039447,0,1163092
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,OPf0YbXqDm0,MarkRonsonVEVO,2018-06-30T19:00:11Z,5235447100,21563950,0,614775
Maroon 5 - Sugar (Official Music Video),09R8_2nJtjg,Maroon5VEVO,2020-06-02T04:32:34Z,4051763894,16163314,0,423972
OneRepublic - Counting Stars,hT_nvWreIhg,OneRepublicVEVO,2018-07-03T21:00:45Z,4023901315,17891960,0,505633
Ed Sheeran - Perfect (Official Music Video),2Vv-BfVoq4g,Ed Sheeran,2019-01-17T22:31:00Z,3741603730,21318558,0,532063
Alan Walker - Faded,60ItHLz5WEA,Alan Walker,2018-11-17T18:28:31Z,3635473595,28099061,0,1285781
Justin Bieber - Baby ft. Ludacris,kffacxfA7G4,JustinBieberVEVO,2018-06-30T19:11:57Z,3146496063,25166115,0,4844272
Bruno Mars - The Lazy Song (Official Music Video),fLexgOxsZu0,Bruno Mars,2020-06-02T09:19:59Z,2760310592,14873651,0,564244
Meghan Trainor - All About That Bass (Official Video),7PCkvCPvDXk,MeghanTrainorVEVO,2018-06-30T19:15:42Z,2621840145,9808872,0,493484
Avicii - Wake Me Up (Official Video),IcrbM1l_BoI,AviciiOfficialVEVO,2018-06-08T17:41:12Z,2358084319,12245968,0,627673
Jennifer Lopez - On The Floor ft. Pitbull,t4H_Zoh7G5A,JenniferLopezVEVO,2021-08-11T16:00:50Z,2322103591,9912148,0,464776
The Chainsmokers & Coldplay - Something Just Like This (Lyric),FM7MFYoylVs,ChainsmokersVEVO,2018-06-08T17:25:20Z,2259404149,10821034,0,279544
Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,SXiSVQZLje8,ArianaGrandeVevo,2018-07-03T21:06:22Z,2210644931,12283702,0,527987
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),q0hyYWKXF0Q,Tones And I,2020-05-10T17:17:39Z,2129522757,15707819,0,385267
Coldplay - Hymn For The Weekend (Official Video),YykjpeuMNEk,Coldplay,2019-02-05T16:31:37Z,2052791189,14990858,0,411006
Bruno Mars - Just The Way You Are (Official Music Video),LjhCEhWiKXk,Bruno Mars,2018-06-30T19:04:17Z,1952200799,8410084,0,249468
a-ha - Take On Me (Official Video) [Remastered in 4K],djV11Xbc914,a-ha,2018-06-08T17:14:00Z,1944642802,11121746,0,335945
David Guetta - Titanium ft. Sia (Official Video),JRfuAukYTKg,David Guetta,2018-07-10T16:08:23Z,1850040724,9049677,0,306265
