Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
The Weeknd - Blinding Lights (Official Video),4NRXx6U8ABQ,TheWeekndVEVO,2020-11-16T11:25:31Z,827234946,10036919,0,301745
Post Malone - Circles,wXhTHyIgQ_U,PostMaloneVEVO,2020-11-16T11:25:46Z,686037085,5330332,0,123288
Roddy Ricch - The Box [Official Music Video],UNZqm3dxd2w,Roddy Ricch,2020-11-16T11:25:53Z,585825099,8772407,0,206316
Dua Lipa - Don't Start Now (Official Music Video),oygrmJFKYZY,Dua Lipa,2020-11-16T11:26:00Z,709141405,7034349,0,136308
DaBaby - Rockstar feat. Roddy Ricch [Official Music Video],mxFstYSbBmc,DaBaby,2020-11-16T11:26:11Z,184821657,2907099,0,76947
Harry Styles - Adore You (Official Video),VF-r5TtlT9w,HarryStylesVEVO,2020-11-16T11:26:19Z,415229508,3878719,0,63996
Future - Life Is Good (Official Music Video) ft. Drake,l0U7SxXHkPY,FutureVEVO,2020-11-16T11:26:26Z,2171285727,10192736,0,228329
Maroon 5 - Memories (Official Video),SlPhMPnQ58k,Maroon5VEVO,2020-11-16T11:26:33Z,1024669498,9545322,0,272998
Maren Morris - The Bones (Official Video),gvPMVKUI9go,MarenMorrisVEVO,2020-11-16T11:26:58Z,34006811,239613,0,4624
Lewis Capaldi - Someone You Loved,zABLecsR5UE,LewisCapaldiVEVO,2020-11-16T11:26:39Z,878858419,9169341,0,170905
Doja Cat - Say So (Official Video),pok8H_KF1FA,dojacatVEVO,2020-12-03T13:56:10Z,498951889,5756453,0,196554
Gabby Barrett - I Hope (ft. Charlie Puth) (Audio),fDFdVIp6rHg,Gabby Barrett,2020-11-16T11:26:46Z,22211674,185468,0,3181
"Jack Harlow - WHATS POPPIN feat. Dababy, Tory Lanez, & Lil Wayne [Official Video]",HIwAI05Y1fU,Jack Harlow,2020-11-16T11:27:22Z,302631479,2672346,0,71438
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),q0hyYWKXF0Q,Tones And I,2020-11-16T11:27:30Z,2129511666,15707758,0,385266
Megan Thee Stallion - Savage Remix (feat. Beyoncé) [Official Audio],lEIqjoO0-Bs,Megan Thee Stallion,2022-04-07T08:07:47Z,89387826,1135059,0,52152
Arizona Zervas - ROXANNE (Official Video),16YnOUnbE6s,ArizonaZervasVEVO,2020-11-16T11:27:53Z,228370925,2706249,0,69906
Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo,3AyMjyHu1bA,JustinBieberVEVO,2020-11-16T11:28:03Z,718897687,4129021,0,66165
Billie Eilish - everything i wanted (Official Music Video),EgBJmlPo8Xw,BillieEilishVEVO,2020-11-16T11:28:11Z,392372826,5885662,0,193227
SAINt JHN - Roses (Imanbek Remix) (Official Music Video),2zToEPpFEN8,SAINt JHN,2020-11-16T11:28:20Z,318852698,3560190,0,70613
Harry Styles - Watermelon Sugar (Official Video),E07s5ZYygMg,HarryStylesVEVO,2020-11-16T11:28:28Z,375049764,6351907,0,210827
Lewis Capaldi - Before You Go (Official Video),Jtauh8GcxBY,LewisCapaldiVEVO,2020-11-16T11:28:37Z,383102000,3843033,0,57238
Trevor Daniel - Falling (Official Music Video),L7mfjvdnPno,Trevor Daniel,2020-11-16T11:28:44Z,381475754,6643520,0,102953
"Dan + Shay, Justin Bieber - 10,000 Hours (Official Music Video)",Y2E71oe0aSM,Dan And Shay,2020-11-16T11:28:52Z,289801989,3254101,0,72473
Cardi B - WAP feat. Megan Thee Stallion [Official Music Video],hsm4poTWjMs,Cardi B,2020-11-16T11:28:59Z,528823272,9061141,0,589168
Mustard - Ballin’ ft. Roddy Ricch,YS0h2-hy9rw,MustardVEVO,2020-11-16T11:29:15Z,310459556,2865440,0,72458
blackbear - hot girl bummer [Low Budget Video],yMlKJGKyoCo,blackbear,2020-11-16T11:29:08Z,161999788,2886909,0,34799
Lil Mosey - Blueberry Faygo (Official Music Video),V_jHc_n0p9c,Lyrical Lemonade,2020-11-16T11:29:22Z,334164463,4150188,0,159842
The Weeknd - Heartless (Official Video),1DpH-icPpl0,TheWeekndVEVO,2020-11-16T11:29:36Z,199824103,2231757,0,67279
DaBaby - BOP on Broadway (Hip Hop Musical),28hYUZMufDg,DaBaby,2020-11-16T11:29:52Z,533576377,5154957,0,109707
Selena Gomez - Lose You To Love Me (Official Music Video),zlJDTxahav0,SelenaGomezVEVO,2020-11-16T11:31:38Z,476974508,8929689,0,354352
Lizzo - Good As Hell (Video),SmbmeOgWsqE,Lizzo Music,2020-11-16T11:31:47Z,148716640,1409104,0,31893
Drake - Toosie Slide (Official Music Video),xWggTb45brM,DrakeVEVO,2020-11-16T11:31:55Z,377738995,4333275,0,131361
Dua Lipa - Break My Heart (Official Video),Nj2U6rhnucI,Dua Lipa,2020-11-16T11:29:45Z,611155094,5586157,0,100711
Morgan Wallen - Chasin' You (Dream Video),iBduQb1S-4s,MorganWallenVEVO,2020-11-16T11:32:26Z,168451584,577843,0,8389
Jason Derulo & Jawsh 685 - Savage Love (Studio Music Video),gUci-tsiU4I,Jason Derulo,2020-11-16T11:32:06Z,173126129,1842850,0,31268
Chris Brown - No Guidance (Official Video) ft. Drake,6L_k74BOLag,ChrisBrownVEVO,2020-11-16T11:32:35Z,475531693,3691588,0,122631
Camila Cabello - My Oh My (Official Music Video) ft. DaBaby,6fd2kkLmSDQ,CamilaCabelloVEVO,2020-11-16T11:32:50Z,124186532,2485931,0,52055
BTS (방탄소년단) 'Dynamite' Official MV,gdZLi9oWNZg,HYBE LABELS,2020-11-16T11:32:43Z,1834738234,37486512,0,15857567
"Chris Brown, Young Thug - Go Crazy (Official Video)",dPhwbZBvW2o,ChrisBrownVEVO,2020-11-16T11:33:08Z,199071024,1975048,0,56473
Roddy Ricch - High Fashion (feat. Mustard) [Official Audio],iGU66wsjIPA,Roddy Ricch,2020-11-16T11:33:01Z,155440689,1102292,0,19948
Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,JFm7YDVlqnI,DrakeVEVO,2020-11-16T11:33:19Z,492739874,4267066,0,143768
Lil Baby - Woah (Official Music Video),nUEqPtVGIpE,LilBabyVEVO,2020-11-16T11:33:25Z,276946267,1782115,0,29780
Powfu - death bed (coffee for your head) (Official Video) ft. beabadoobee,jJPMnTXl63E,PowfuVEVO,2020-11-16T11:33:34Z,683385645,9415570,0,225911
"Shawn Mendes, Camila Cabello - Señorita",Pkh8UtuejGw,ShawnMendesVEVO,2020-11-16T11:33:40Z,1698193488,20804255,0,646468
Travis Scott - HIGHEST IN THE ROOM (Official Music Video),tfSS1e3kYeo,TravisScottVEVO,2020-11-16T11:33:49Z,649315125,6848845,0,151743
Billie Eilish - bad guy (Official Music Video),DyDfgMOUjCI,BillieEilishVEVO,2020-11-16T11:34:23Z,1281574725,18365819,0,828890
24kGoldn - Mood (Official Video) ft. iann dior,GrAchTdepsU,24KGoldnVEVO,2020-11-16T11:34:03Z,468214711,7453467,0,150788
"Lady Gaga, Ariana Grande - Rain On Me (Official Music Video)",AoAm4om0wTs,LadyGagaVEVO,2020-11-16T11:33:57Z,414481365,5827779,0,454483
"Pop Smoke - For The Night (Audio) ft. Lil Baby, DaBaby",Q9pjm4cNsfc,POPSMOKEVEVO,2020-11-16T11:34:18Z,506602082,4060561,0,76694
"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",EzKkl64rRbM,BlackEyedPeasVEVO,2020-11-16T11:34:09Z,1078982046,6659957,0,131853
Rod Wave - Heart On Ice (Official Music Video),deMLg4FPFhQ,RodWave,2020-11-16T11:36:20Z,210706244,1637823,0,29435
