Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
Lady Antebellum - Need You Now,eM213aMKTHg,LadyAVEVO,2017-05-07T14:08:59Z,623742185,3259403,0,80209
Katharine McPhee - Terrified (Official Video) ft. Zachary Levi,un60RISzE-A,KatharineMcPheeVEVO,2017-05-07T15:04:55Z,53078792,246957,0,12517
Timbaland - Apologize ft. OneRepublic,ZSM3w1v-A_Y,TimbalandVEVO,2017-05-07T14:28:33Z,664226032,4297179,0,99893
Owl City - Fireflies (Official Music Video),psuRGfAaju4,OwlCityVEVO,2017-05-07T14:24:07Z,532847209,4879943,0,388329
Vanessa Carlton - A Thousand Miles,Cwkej79U3ek,VanessaCarltonVEVO,2017-05-07T14:40:02Z,393894387,3891847,0,200774
Adele - Chasing Pavements (Official Music Video),08DjMT-qR9g,AdeleVEVO,2017-05-07T14:51:37Z,197882726,951677,0,26310
Jason Mraz - I'm Yours (Official Video) [4K Remaster],EkHTsc9PU2A,Jason Mraz,2017-05-07T14:25:18Z,798934613,4492706,0,133305
Backstreet Boys - Shape Of My Heart (Official HD Video),OT5msu-dap8,BackstreetBoysVEVO,2017-05-07T15:22:23Z,358611873,1102632,0,46601
*NSYNC - This I Promise You (Official Video),6thmPrTxBtI,NSYNCVEVO,2017-05-07T14:45:22Z,302759544,1022954,0,48692
Passenger Seat by Stephen Speaks with lyrics onscreen,7akWlwsCJXU,Ariana Queaño,2017-05-08T01:14:46Z,95584938,85145,0,5798
Colbie Caillat - Realize (Official Music Video),GlZxZ2n2zpw,ColbieCaillatVEVO,2017-05-07T15:32:10Z,52982932,203259,0,8206
Joe - I Wanna Know (Official Video),dJ8VjyPw0qY,JoeVEVO,2017-05-07T15:23:02Z,223595668,1278801,0,27861
Boys Like Girls - Two Is Better Than One,AW3RspM7v9M,BoysLikeGirlsVEVO,2017-05-08T11:57:26Z,67133713,362150,0,19855
I Think I`m Dreaming,LKn9oyL9yuU,TONY esq 💔,2024-04-07T13:22:09Z,5776,25,0,13
3 Doors Down - Here Without You (Official Music Video),kPBzTxZQG5Q,3DoorsDownVEVO,2018-12-15T14:44:47Z,868195680,4131505,0,106720
Coldplay - The Scientist (Official 4K Video),RB-RcX5DS5A,Coldplay,2017-05-07T15:46:41Z,1205235398,6074532,0,132830
Jason Mraz - Lucky (feat. Colbie Caillat) [Official Video] [HD Remaster],acvIVA9-FMQ,Jason Mraz,2017-05-08T01:33:32Z,192894246,1085616,0,32402
Ne-Yo - Because Of You (Official Music Video),atz_aZA3rf0,NeYoVEVO,2017-05-07T14:54:24Z,276068841,1240925,0,32282
Sara Bareilles - Love Song (Official HD Video),qi7Yh16dA0w,SaraBareillesVEVO,2017-05-08T01:32:43Z,115426502,549821,0,19675
Destiny's Child - Cater 2 U (Video Version),juqws1LIH-I,DestinysChildVEVO,2017-05-07T15:30:43Z,151546883,753834,0,24115
John Mayer - Your Body Is a Wonderland (Official HD Video),N5EnGwXV_Pg,johnmayerVEVO,2017-05-08T11:55:30Z,87224689,372128,0,14673
No Doubt - Underneath It All ft. Lady Saw,RvuVFHTvdaY,NoDoubtVEVO,2017-05-07T14:37:21Z,57368705,325007,0,10847
Santana - The Game Of Love (Video) ft. Michelle Branch,HKLnmMacEB4,SantanaVEVO,2017-05-07T14:36:53Z,64581621,355627,0,12383
Thoughtful Bravado - It Doesn't Get Better Than This,yVyaKi1mQzs,Thoughtful Bravado,2024-04-30T08:51:14Z,2257,7,0,2
Jewel At Changi Airport Singapore / Vlog Review No. 244,b4Ta39bCzB8,F & T Reviews,2024-04-26T11:56:09Z,26139,0,0,0
Macy Gray - I Try (Official Video),WEQ0l_m3Xm0,MacyGrayVEVO,2017-05-07T14:46:19Z,77372210,550533,0,17057
Jesse McCartney - Beautiful Soul (Official Video),ek2PDE1cAyY,JesseMcCartneyVEVO,2017-05-10T10:41:26Z,70730725,580915,0,19458
Jordin Sparks - Tattoo,T4E1s0g3ZMw,JordinSparksVEVO,2017-05-07T14:17:15Z,45355164,130113,0,4666
David Cook - Always Be my baby (LYRICS),XGEkcSoaj6A,michael acbo,2017-05-07T15:42:59Z,31508922,83483,0,4185
Snow Patrol - Chasing Cars (Official Video),GemKqzILV4w,SnowPatrolVEVO,2017-05-07T14:29:39Z,356825839,2194121,0,65460
Alicia Keys - Fallin' (Official HD Video),Urdlvw0SSEc,aliciakeysVEVO,2017-05-07T14:43:47Z,322594771,2050972,0,32084
Lenny Kravitz - Again (Official Music Video),eW2qlKa6oHw,LennyKravitzVEVO,2017-05-07T15:31:31Z,297284549,1076032,0,24513
Christina Aguilera - Beautiful (Official HD Video),eAfyFTzZDMM,CAguileraVEVO,2017-05-07T14:35:31Z,147253021,1012157,0,52279
Darling by Makeishon,3reSxQQwCY0,Makeishon,2024-05-01T16:42:14Z,1233,5,0,0
Backstreet Boys - Show Me The Meaning Of Being Lonely (Official Video),aBt8fN7mJNg,BackstreetBoysVEVO,2018-09-27T18:41:31Z,297625518,1587471,0,60203
Matchbox Twenty - Unwell (Official Video) [HD Remaster],WziA88-n02k,Matchbox Twenty,2017-05-07T14:36:06Z,100228116,548272,0,21459
Colbie Caillat - Bubbly (Official Music Video),AWGqoCNbsvM,ColbieCaillatVEVO,2017-05-07T15:31:53Z,146892568,967162,0,28033
First Impressions of Singapore / Vlog Review No. 243,MIXZjiGfVZM,F & T Reviews,2024-04-26T11:56:56Z,29764,0,0,0
Coldplay - Fix You (Official Video),k4V3Mo61fJM,Coldplay,2018-12-15T14:36:23Z,636409036,3276646,0,121785
Norah Jones - Come Away With Me,lbjZPFBD6JU,norahjonesVEVO,2017-05-07T14:14:33Z,52616289,348685,0,8160
Forget About Me by LIL BIT (Lyrics Video),vDG4Vf70ifg,MIXMALLOW MUSIC,2021-09-28T19:55:31Z,16203,56,0,0
Best Friend - Jason Chen (Official Music Video),xxIr3dbOJxU,MusicNeverSleeps,2017-05-07T14:10:49Z,34493143,299965,0,21665
The Pussycat Dolls - I Hate This Part (Official Music Video),S97MaG3kOMY,ThePussycatDollsVEVO,2017-05-08T01:31:18Z,119395839,663063,0,21749
All For You,4Q7I4jfTGmE,Randy Camera - Topic,2024-05-10T08:49:41Z,817,1,0,0
Ne-Yo - Sexy Love (Official Music Video),mgaeGW-2z6w,NeYoVEVO,2017-05-07T15:30:15Z,147743205,631397,0,15043
Shontelle - T-Shirt,Eb-Vfe61W6A,ShontelleVEVO,2017-05-08T01:32:15Z,51784009,225344,0,8672
Nobody Will Love You Like I Do,vJ-QNfMKxOY,iAsianBeats,2017-05-08T01:43:49Z,21272436,101467,0,3028
"Faith Hill - ""The Way You Love Me"" (Official Video)",o8EamHKpdrM,Faith Hill,2017-05-07T14:41:13Z,17813745,98869,0,3164
Natasha Bedingfield - Love Like This (Official Video) ft. Sean Kingston,BPTZVmJrIpo,NBedingfieldVEVO,2017-05-08T01:34:21Z,30700287,137863,0,5589
Best In Me,OfMyEMpy7w8,Blue - Topic,2021-09-04T10:00:39Z,5006965,22712,0,129
Alicia Keys - Try Sleeping with a Broken Heart (Official Video),srMBZiqNMaM,aliciakeysVEVO,2017-05-07T14:49:47Z,122209456,608390,0,22187
Tamia - Officially Missing You (Official Video),HeK1zQFJtXE,Atlantic Records,2017-05-07T15:10:38Z,34939142,249846,0,7402
